epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6029.73,1.03762,0.95697,1.10354,0.73183,0.52162,0.57529,0.43392,1.37266,1.48268,1.30177,0.00110314,0.00110314,0.00110314
43,6172.28,1.05019,0.95393,1.10814,0.65936,0.62097,0.59858,0.44313,1.38877,1.48448,1.28212,0.00108938,0.00108938,0.00108938
44,6315.47,1.03559,0.91545,1.09172,0.68833,0.62145,0.60531,0.45045,1.33554,1.43614,1.25215,0.00107563,0.00107563,0.00107563
45,6459.4,1.02996,0.90018,1.08473,0.64519,0.61835,0.5891,0.43521,1.30258,1.3741,1.25526,0.00106188,0.00106188,0.00106188
46,6603.16,1.0335,0.89107,1.10452,0.65383,0.62493,0.5929,0.42904,1.32641,1.40776,1.26927,0.00104813,0.00104813,0.00104813
47,6746.41,1.05242,0.89529,1.10714,0.70294,0.63533,0.63977,0.48338,1.29181,1.36156,1.19059,0.00103437,0.00103437,0.00103437
48,6889.11,1.01529,0.88531,1.08402,0.65372,0.65158,0.63161,0.43845,1.31008,1.38528,1.26151,0.00102062,0.00102062,0.00102062
49,7032.32,1.00893,0.8579,1.07816,0.75947,0.59466,0.63113,0.46498,1.26949,1.34047,1.19668,0.00100687,0.00100687,0.00100687
50,7176.09,1.00952,0.84236,1.08773,0.71831,0.57129,0.57772,0.45557,1.22857,1.41519,1.18627,0.000993115,0.000993115,0.000993115
51,7320.48,1.01536,0.84902,1.08791,0.73331,0.59795,0.61678,0.4709,1.30809,1.35396,1.22911,0.000979362,0.000979362,0.000979362
52,7462.91,1.01828,0.86314,1.09388,0.75986,0.55857,0.62499,0.45248,1.34649,1.4299,1.27801,0.00096561,0.00096561,0.00096561
53,7606.34,1.0236,0.87655,1.09134,0.67528,0.59332,0.59478,0.4499,1.34599,1.52295,1.2575,0.000951857,0.000951857,0.000951857
54,7750.63,0.9855,0.81116,1.07325,0.75559,0.55015,0.60883,0.46178,1.34744,1.43145,1.25057,0.000938104,0.000938104,0.000938104
55,7894.65,1.01164,0.8274,1.08245,0.7182,0.60124,0.59677,0.44342,1.35304,1.39638,1.25038,0.000924352,0.000924352,0.000924352
56,8037.05,0.99309,0.85132,1.07795,0.74289,0.57922,0.6475,0.45986,1.31084,1.30389,1.2648,0.000910599,0.000910599,0.000910599
57,8180.28,0.98362,0.81095,1.06976,0.72498,0.5968,0.62829,0.45299,1.34182,1.35586,1.28578,0.000896846,0.000896846,0.000896846
58,8323.41,0.99145,0.79986,1.06394,0.61037,0.64796,0.60803,0.44865,1.31131,1.44494,1.2601,0.000883093,0.000883093,0.000883093
59,8466.4,1.01007,0.8194,1.07272,0.66876,0.62722,0.60374,0.44083,1.28181,1.36325,1.23386,0.00086934,0.00086934,0.00086934
60,8609.36,0.95565,0.79273,1.05478,0.66991,0.61452,0.61029,0.45714,1.27824,1.4096,1.24027,0.000855588,0.000855588,0.000855588
61,8753.83,0.96622,0.78657,1.06396,0.73062,0.59466,0.6096,0.46336,1.32967,1.44554,1.30126,0.000841835,0.000841835,0.000841835
62,8897.6,0.94906,0.77364,1.05124,0.67765,0.60849,0.60615,0.47108,1.31776,1.35193,1.26238,0.000828082,0.000828082,0.000828082
63,9042.13,0.9624,0.76566,1.05439,0.71343,0.60781,0.63781,0.47958,1.29531,1.38662,1.24952,0.000814329,0.000814329,0.000814329
64,9186.22,0.95902,0.76253,1.05191,0.65523,0.58774,0.59494,0.42454,1.3309,1.36901,1.27774,0.000800577,0.000800577,0.000800577
65,9329.97,0.9401,0.74955,1.03767,0.67298,0.58774,0.57522,0.41995,1.34181,1.37791,1.27837,0.000786824,0.000786824,0.000786824
66,9474.65,0.94254,0.74994,1.04619,0.7233,0.59862,0.63202,0.46333,1.2867,1.35877,1.22656,0.000773071,0.000773071,0.000773071
67,9617.36,0.95526,0.74981,1.04587,0.72041,0.58724,0.60522,0.46411,1.27101,1.45576,1.20352,0.000759318,0.000759318,0.000759318
68,9760.27,0.94092,0.73956,1.04771,0.6931,0.58872,0.61355,0.45841,1.27003,1.37726,1.20822,0.000745566,0.000745566,0.000745566
69,9902.73,0.93405,0.72991,1.0369,0.76022,0.59466,0.63368,0.48178,1.24426,1.30009,1.2079,0.000731813,0.000731813,0.000731813
70,10045.8,0.94613,0.75007,1.03699,0.64489,0.64366,0.61478,0.46211,1.299,1.33184,1.23649,0.00071806,0.00071806,0.00071806
71,10189.8,0.93085,0.71784,1.03115,0.66492,0.55847,0.58614,0.45361,1.27188,1.37055,1.22408,0.000704307,0.000704307,0.000704307
72,10332.9,0.90659,0.72918,1.0335,0.69184,0.63084,0.60223,0.46448,1.28962,1.3038,1.22234,0.000690555,0.000690555,0.000690555
73,10476.1,0.93713,0.72656,1.03551,0.76093,0.58774,0.60167,0.45718,1.28991,1.37674,1.23302,0.000676802,0.000676802,0.000676802
74,10621.1,0.9224,0.7001,1.02741,0.78779,0.58841,0.631,0.48308,1.24169,1.26981,1.22784,0.000663049,0.000663049,0.000663049
75,10765.7,0.92033,0.72386,1.03958,0.71453,0.5917,0.60935,0.46938,1.27295,1.33419,1.23913,0.000649297,0.000649297,0.000649297
76,10909.4,0.90221,0.70292,1.03069,0.70163,0.65259,0.64951,0.48479,1.26491,1.29796,1.21183,0.000635544,0.000635544,0.000635544
